Time_sec;Vision_X_mm;Vision_Y_mm;Voltage_V;Current_mA
0,987;NaN;NaN;0,01;0,0
1,249;NaN;NaN;0,01;0,0
1,329;NaN;NaN;0,01;0,0
1,397;NaN;NaN;0,01;0,0
1,460;NaN;NaN;0,01;0,0
1,531;NaN;NaN;0,01;0,1
1,576;NaN;NaN;0,01;0,0
1,638;NaN;NaN;0,01;0,0
1,686;NaN;NaN;0,01;0,0
1,743;NaN;NaN;0,01;0,0
1,786;NaN;NaN;0,01;0,0
1,848;NaN;NaN;0,02;0,0
1,912;NaN;NaN;0,01;0,0
1,962;NaN;NaN;0,01;0,0
2,025;NaN;NaN;0,01;0,0
2,057;NaN;NaN;0,01;0,0
2,105;NaN;NaN;0,01;0,0
2,171;NaN;NaN;0,01;0,0
2,235;NaN;NaN;0,01;0,0
2,300;NaN;NaN;0,01;0,0
2,364;NaN;NaN;0,01;0,1
2,428;NaN;NaN;0,01;0,0
2,492;NaN;NaN;0,01;0,0
2,556;NaN;NaN;0,01;0,0
2,620;NaN;NaN;0,01;0,0
2,684;NaN;NaN;0,01;0,0
2,748;NaN;NaN;0,01;0,0
2,812;NaN;NaN;0,01;0,0
2,876;NaN;NaN;0,01;0,0
2,928;NaN;NaN;0,01;0,0
2,988;NaN;NaN;0,01;0,0
3,058;NaN;NaN;0,01;0,0
3,116;NaN;NaN;0,01;0,0
3,177;NaN;NaN;0,01;0,0
3,242;NaN;NaN;0,01;0,0
3,301;NaN;NaN;0,01;0,0
3,349;NaN;NaN;0,01;0,0
3,398;NaN;NaN;0,01;0,0
3,462;NaN;NaN;0,01;0,0
3,526;NaN;NaN;0,01;0,0
3,589;NaN;NaN;0,01;0,0
3,637;NaN;NaN;0,01;0,0
3,702;NaN;NaN;0,01;0,0
3,750;NaN;NaN;0,01;0,0
3,797;NaN;NaN;0,01;0,0
3,845;NaN;NaN;0,01;0,0
3,893;NaN;NaN;0,01;0,0
3,957;NaN;NaN;0,01;0,0
4,005;NaN;NaN;0,01;0,0
4,069;NaN;NaN;0,01;0,0
4,133;NaN;NaN;0,01;0,0
4,193;NaN;NaN;0,01;0,0
4,255;NaN;NaN;0,02;0,0
4,335;NaN;NaN;0,01;0,0
4,398;NaN;NaN;0,01;0,0
4,446;NaN;NaN;0,02;0,0
4,495;NaN;NaN;0,02;0,0
4,543;NaN;NaN;0,01;0,0
4,608;NaN;NaN;0,01;0,0
4,672;NaN;NaN;0,01;0,0
4,740;NaN;NaN;0,01;0,0
4,799;NaN;NaN;0,01;0,0
4,863;NaN;NaN;0,01;0,0
4,927;NaN;NaN;0,01;0,0
4,990;NaN;NaN;0,01;0,0
5,054;NaN;NaN;0,01;0,0
5,118;NaN;NaN;0,02;0,0
5,193;NaN;NaN;0,01;0,0
5,256;NaN;NaN;0,01;0,0
5,303;NaN;NaN;0,01;0,0
5,368;NaN;NaN;0,01;0,0
5,400;NaN;NaN;0,01;0,0
5,464;NaN;NaN;0,01;0,0
5,512;NaN;NaN;0,01;0,0
5,544;NaN;NaN;0,01;0,0
5,608;NaN;NaN;0,01;0,0
5,672;NaN;NaN;0,01;0,0
5,736;NaN;NaN;0,01;0,0
5,800;NaN;NaN;0,01;0,0
5,864;NaN;NaN;0,01;0,0
5,912;NaN;NaN;0,01;0,0
5,976;NaN;NaN;0,01;0,0
6,039;NaN;NaN;0,01;0,0
6,103;NaN;NaN;0,01;0,0
6,171;NaN;NaN;0,01;0,2
6,226;NaN;NaN;0,01;0,0
6,288;NaN;NaN;0,01;0,0
6,336;NaN;NaN;0,01;0,0
6,383;NaN;NaN;0,01;0,0
6,431;NaN;NaN;0,01;0,0
6,479;NaN;NaN;0,01;0,0
6,511;NaN;NaN;0,01;0,0
6,575;NaN;NaN;0,01;0,0
6,624;NaN;NaN;0,01;0,0
6,672;NaN;NaN;0,01;0,0
6,720;NaN;NaN;0,01;0,0
6,752;NaN;NaN;0,01;0,0
6,800;NaN;NaN;0,01;0,0
6,865;NaN;NaN;0,01;0,0
6,929;NaN;NaN;0,01;0,0
6,993;NaN;NaN;0,01;0,0
7,057;NaN;NaN;0,01;0,0
7,105;NaN;NaN;0,01;0,0
7,169;NaN;NaN;0,01;0,0
7,226;NaN;NaN;0,01;0,0
7,284;NaN;NaN;0,01;0,0
7,347;NaN;NaN;0,01;0,0
7,411;NaN;NaN;0,01;0,0
7,474;NaN;NaN;0,01;0,0
7,538;NaN;NaN;0,01;0,0
7,602;NaN;NaN;0,01;0,0
7,667;NaN;NaN;0,01;0,0
7,731;NaN;NaN;0,01;0,0
7,795;NaN;NaN;0,01;0,0
7,859;NaN;NaN;0,01;0,0
7,923;NaN;NaN;0,01;0,0
7,971;NaN;NaN;0,01;0,0
8,035;NaN;NaN;0,01;0,0
8,099;NaN;NaN;0,01;0,0
8,163;NaN;NaN;0,01;0,0
8,236;NaN;NaN;0,01;0,0
8,300;NaN;NaN;0,01;0,0
8,364;NaN;NaN;0,01;0,0
8,428;NaN;NaN;0,01;0,0
8,460;NaN;NaN;0,02;0,0
8,508;NaN;NaN;0,01;0,0
8,571;NaN;NaN;0,01;0,0
8,619;NaN;NaN;0,01;0,0
8,667;NaN;NaN;0,01;0,0
8,732;NaN;NaN;0,01;0,0
8,794;NaN;NaN;0,01;0,0
8,858;NaN;NaN;0,01;0,0
8,906;NaN;NaN;0,01;0,0
8,971;NaN;NaN;0,01;0,0
9,035;NaN;NaN;0,01;0,0
9,100;NaN;NaN;0,01;0,0
9,164;NaN;NaN;0,01;0,0
9,211;NaN;NaN;0,02;0,0
9,268;NaN;NaN;0,01;0,0
9,332;NaN;NaN;0,01;0,0
9,396;NaN;NaN;0,01;0,0
9,444;NaN;NaN;0,01;0,0
9,492;NaN;NaN;0,01;0,0
9,556;NaN;NaN;0,01;0,0
9,620;NaN;NaN;0,01;0,0
9,652;NaN;NaN;0,01;0,0
9,717;NaN;NaN;0,01;0,0
9,749;NaN;NaN;0,01;0,0
9,813;NaN;NaN;0,01;0,0
9,861;NaN;NaN;0,01;0,0
9,924;NaN;NaN;0,01;0,0
9,973;NaN;NaN;0,01;0,0
10,037;NaN;NaN;0,01;0,0
10,103;NaN;NaN;0,01;0,0
10,166;NaN;NaN;0,01;0,0
10,226;NaN;NaN;0,01;0,0
10,287;NaN;NaN;0,01;0,0
10,351;NaN;NaN;0,01;0,0
10,415;NaN;NaN;0,01;0,0
10,480;NaN;NaN;0,01;0,0
10,544;NaN;NaN;0,01;0,0
10,592;NaN;NaN;0,01;0,0
10,640;NaN;NaN;0,01;0,1
10,688;NaN;NaN;0,01;0,0
10,736;NaN;NaN;0,01;0,0
10,768;NaN;NaN;0,01;0,0
10,816;NaN;NaN;0,01;0,0
10,864;NaN;NaN;0,01;0,0
10,928;NaN;NaN;0,01;0,0
10,992;NaN;NaN;0,01;0,0
11,056;NaN;NaN;0,01;0,0
11,107;NaN;NaN;0,01;0,0
11,168;NaN;NaN;0,01;0,0
11,238;NaN;NaN;0,01;0,0
11,291;NaN;NaN;0,01;0,0
11,354;NaN;NaN;0,01;0,0
11,419;NaN;NaN;0,01;0,0
11,483;NaN;NaN;0,01;0,0
11,547;NaN;NaN;0,01;0,0
11,596;NaN;NaN;0,01;0,0
11,659;NaN;NaN;0,01;0,0
11,707;NaN;NaN;0,01;0,0
11,755;NaN;NaN;0,01;0,0
11,787;NaN;NaN;0,01;0,0
11,835;NaN;NaN;0,01;0,0
11,883;NaN;NaN;0,01;0,0
11,931;NaN;NaN;0,01;0,0
11,994;NaN;NaN;0,01;0,0
12,042;NaN;NaN;0,01;0,0
12,091;NaN;NaN;0,01;0,0
12,155;NaN;NaN;0,01;0,0
12,220;NaN;NaN;0,01;0,0
12,268;NaN;NaN;0,01;0,0
12,332;NaN;NaN;0,01;0,0
12,380;NaN;NaN;0,01;0,0
12,444;NaN;NaN;0,01;0,0
12,492;NaN;NaN;0,01;0,0
12,524;NaN;NaN;0,01;0,0
12,572;NaN;NaN;0,01;0,0
12,620;NaN;NaN;0,01;0,0
12,683;NaN;NaN;0,01;0,0
12,731;NaN;NaN;0,01;0,0
12,779;NaN;NaN;0,01;0,0
12,827;NaN;NaN;0,01;0,0
12,858;NaN;NaN;0,01;0,0
12,911;NaN;NaN;0,01;0,0
12,954;NaN;NaN;0,01;0,0
13,018;NaN;NaN;0,01;0,0
13,082;NaN;NaN;0,01;0,0
13,146;NaN;NaN;0,01;0,0
13,212;NaN;NaN;0,01;0,0
13,269;NaN;NaN;0,01;0,0
13,332;NaN;NaN;0,01;0,0
13,396;NaN;NaN;0,01;0,0
13,460;NaN;NaN;0,01;0,0
13,524;NaN;NaN;0,01;0,0
13,588;NaN;NaN;0,01;0,0
13,652;NaN;NaN;0,01;0,0
13,700;NaN;NaN;0,01;0,0
13,748;NaN;NaN;0,01;0,0
13,796;NaN;NaN;0,02;0,0
13,844;NaN;NaN;0,01;0,0
13,908;NaN;NaN;0,01;0,0
13,956;NaN;NaN;0,01;0,0
13,989;NaN;NaN;0,01;0,0
14,052;NaN;NaN;0,01;0,0
14,116;NaN;NaN;0,01;0,0
14,165;NaN;NaN;0,01;0,0
14,230;NaN;NaN;0,01;0,0
14,286;NaN;NaN;0,01;0,0
14,351;NaN;NaN;0,01;0,0
14,416;NaN;NaN;0,01;0,0
14,479;NaN;NaN;0,01;0,0
14,543;NaN;NaN;0,01;0,0
14,607;NaN;NaN;0,01;0,0
14,639;NaN;NaN;0,01;0,0
14,702;NaN;NaN;0,01;0,0
14,734;NaN;NaN;0,01;0,0
14,798;NaN;NaN;0,01;0,0
14,862;NaN;NaN;0,01;0,0
14,925;NaN;NaN;0,01;0,0
14,977;NaN;NaN;0,01;0,0
15,038;NaN;NaN;0,01;0,0
15,102;NaN;NaN;0,01;0,0
15,166;NaN;NaN;0,01;0,0
15,234;NaN;NaN;0,01;0,0
15,293;NaN;NaN;0,01;0,0
15,335;NaN;NaN;0,01;0,0
15,399;NaN;NaN;0,01;0,0
15,431;NaN;NaN;0,01;0,0
15,496;NaN;NaN;0,01;0,0
15,544;NaN;NaN;0,01;0,0
15,611;NaN;NaN;0,01;0,0
15,671;NaN;NaN;0,01;0,0
15,735;NaN;NaN;0,01;0,0
15,767;NaN;NaN;0,01;0,0
15,821;NaN;NaN;0,01;0,0
15,862;NaN;NaN;0,01;0,0
15,926;NaN;NaN;0,01;0,0
15,991;NaN;NaN;0,01;0,0
16,054;NaN;NaN;0,01;0,0
16,123;NaN;NaN;0,01;0,0
16,182;NaN;NaN;0,01;0,0
16,231;NaN;NaN;0,01;0,0
16,293;NaN;NaN;0,01;0,0
16,338;NaN;NaN;0,01;0,0
16,402;NaN;NaN;0,01;0,0
16,482;NaN;NaN;0,01;0,0
16,524;NaN;NaN;0,01;0,0
16,578;NaN;NaN;0,01;0,0
16,624;NaN;NaN;0,01;0,0
16,675;NaN;NaN;0,01;0,0
16,724;NaN;NaN;0,01;0,0
16,755;NaN;NaN;0,01;0,0
16,802;NaN;NaN;0,01;0,0
16,851;NaN;NaN;0,01;0,0
16,915;NaN;NaN;0,01;0,0
16,947;NaN;NaN;0,01;0,0
17,011;NaN;NaN;0,01;0,0
17,043;NaN;NaN;0,01;0,0
17,091;NaN;NaN;0,01;0,0
17,138;NaN;NaN;0,01;0,0
17,203;NaN;NaN;0,01;0,0
17,235;NaN;NaN;0,01;0,0
17,301;NaN;NaN;0,01;0,0
17,357;NaN;NaN;0,01;0,0
17,422;NaN;NaN;0,01;0,0
17,454;NaN;NaN;0,01;0,0
17,518;NaN;NaN;0,01;0,0
17,550;NaN;NaN;0,01;0,0
17,614;NaN;NaN;0,01;0,0
17,663;NaN;NaN;0,01;0,0
17,695;NaN;NaN;0,01;0,0
17,759;NaN;NaN;0,01;0,0
