Time_sec;Vision_X_mm;Vision_Y_mm;Voltage_V;Current_mA
1,126;NaN;NaN;0,01;0,1
1,381;NaN;NaN;0,01;0,0
1,454;NaN;NaN;0,01;0,0
1,498;NaN;NaN;0,01;0,0
1,536;NaN;NaN;0,01;0,1
1,564;NaN;NaN;0,01;0,0
1,589;NaN;NaN;0,01;0,0
1,611;NaN;NaN;0,01;0,0
1,632;NaN;NaN;0,01;0,0
1,650;NaN;NaN;0,01;0,0
1,714;NaN;NaN;0,01;0,1
1,746;NaN;NaN;0,01;0,1
1,781;NaN;NaN;0,01;0,1
1,820;NaN;NaN;0,01;0,1
1,867;NaN;NaN;0,01;0,0
1,901;NaN;NaN;0,01;0,0
1,945;NaN;NaN;0,01;0,0
1,987;NaN;NaN;0,01;0,0
2,038;NaN;NaN;0,01;0,0
2,118;NaN;NaN;0,01;0,0
2,165;NaN;NaN;0,01;0,1
2,199;NaN;NaN;0,01;0,0
2,241;NaN;NaN;0,01;0,0
2,288;NaN;NaN;0,01;0,0
2,330;NaN;NaN;0,01;0,0
2,372;NaN;NaN;0,01;0,0
2,411;NaN;NaN;0,01;0,0
2,449;NaN;NaN;0,01;0,0
2,488;NaN;NaN;0,01;0,0
2,532;NaN;NaN;0,01;0,0
2,578;NaN;NaN;0,01;0,0
2,615;NaN;NaN;0,01;0,1
2,652;NaN;NaN;0,01;0,0
2,704;NaN;NaN;0,01;0,0
2,732;NaN;NaN;0,01;0,0
2,769;NaN;NaN;0,01;0,0
2,805;NaN;NaN;0,01;0,0
2,840;NaN;NaN;0,01;0,0
2,880;NaN;NaN;0,01;0,0
2,920;NaN;NaN;0,01;0,0
2,958;NaN;NaN;0,01;0,0
2,995;NaN;NaN;0,01;0,0
3,042;NaN;NaN;0,01;0,0
3,084;NaN;NaN;0,01;0,0
3,134;NaN;NaN;0,01;0,0
3,170;NaN;NaN;0,01;0,0
3,211;NaN;NaN;0,01;0,0
3,263;NaN;NaN;0,01;0,0
3,292;NaN;NaN;0,01;0,0
3,338;NaN;NaN;0,01;0,0
3,376;NaN;NaN;0,01;0,0
3,417;NaN;NaN;0,01;0,0
3,458;NaN;NaN;0,01;0,0
3,498;NaN;NaN;0,01;0,0
3,532;NaN;NaN;0,01;0,0
3,571;NaN;NaN;0,01;0,2
3,616;NaN;NaN;0,01;0,1
3,645;NaN;NaN;0,01;0,0
3,688;NaN;NaN;0,01;0,0
3,735;NaN;NaN;0,01;0,0
3,771;NaN;NaN;0,01;0,2
3,816;NaN;NaN;0,01;0,0
3,852;NaN;NaN;0,01;0,0
3,888;NaN;NaN;0,01;0,0
3,931;NaN;NaN;0,01;0,0
3,960;NaN;NaN;0,01;0,0
3,999;NaN;NaN;0,01;0,0
4,029;NaN;NaN;0,01;0,1
4,072;NaN;NaN;0,01;0,1
4,108;NaN;NaN;0,01;0,0
4,137;NaN;NaN;0,01;0,0
4,166;NaN;NaN;0,01;0,0
4,204;NaN;NaN;0,01;0,0
4,239;NaN;NaN;0,01;0,0
4,275;NaN;NaN;0,01;0,0
4,304;NaN;NaN;0,01;0,0
4,331;NaN;NaN;0,02;0,0
4,351;NaN;NaN;0,02;0,0
4,372;NaN;NaN;0,02;0,0
4,394;NaN;NaN;0,01;0,0
4,413;NaN;NaN;0,01;0,0
4,458;NaN;NaN;0,01;0,1
4,498;NaN;NaN;0,01;0,0
4,528;NaN;NaN;0,01;0,0
4,565;NaN;NaN;0,01;0,0
4,588;NaN;NaN;0,01;0,0
4,620;NaN;NaN;0,01;0,0
4,675;NaN;NaN;0,01;0,0
4,696;NaN;NaN;0,01;0,0
4,727;NaN;NaN;0,01;0,0
4,752;NaN;NaN;0,02;0,1
4,783;NaN;NaN;0,02;0,1
4,821;NaN;NaN;0,02;0,1
4,874;NaN;NaN;0,01;0,0
4,898;NaN;NaN;0,01;0,0
4,930;NaN;NaN;0,01;0,0
4,959;NaN;NaN;0,02;0,0
4,993;NaN;NaN;0,01;0,0
5,033;NaN;NaN;0,01;0,0
5,082;NaN;NaN;0,01;0,0
5,103;NaN;NaN;0,01;0,0
5,138;NaN;NaN;0,01;0,0
5,168;NaN;NaN;0,01;0,0
5,204;NaN;NaN;0,01;0,0
5,225;NaN;NaN;0,01;0,0
5,249;NaN;NaN;0,01;0,0
5,292;NaN;NaN;0,01;0,0
5,333;NaN;NaN;0,01;0,0
5,362;NaN;NaN;0,01;0,2
5,425;NaN;NaN;0,01;0,0
5,448;NaN;NaN;0,01;0,0
5,478;NaN;NaN;0,01;0,1
5,521;NaN;NaN;0,01;0,0
5,550;NaN;NaN;0,01;0,0
5,576;NaN;NaN;0,01;0,0
5,615;NaN;NaN;0,01;0,0
5,647;NaN;NaN;0,01;0,0
5,679;NaN;NaN;0,01;0,1
5,731;NaN;NaN;0,01;0,0
5,761;NaN;NaN;0,01;0,0
5,796;NaN;NaN;0,02;0,2
5,840;NaN;NaN;0,01;0,0
5,879;NaN;NaN;0,01;0,0
5,916;NaN;NaN;0,01;0,0
5,953;NaN;NaN;0,01;0,0
5,983;NaN;NaN;0,01;0,0
6,019;NaN;NaN;0,01;0,0
6,055;NaN;NaN;0,01;0,0
6,088;NaN;NaN;0,01;0,0
6,122;NaN;NaN;0,01;0,0
6,158;NaN;NaN;0,01;0,0
6,183;NaN;NaN;0,01;0,0
6,224;NaN;NaN;0,01;0,0
6,257;NaN;NaN;0,01;0,1
6,279;NaN;NaN;0,01;0,0
6,311;NaN;NaN;0,01;0,0
6,340;NaN;NaN;0,01;0,1
6,367;NaN;NaN;0,01;0,1
6,399;NaN;NaN;0,01;0,2
6,430;NaN;NaN;0,01;0,0
6,449;NaN;NaN;0,01;0,0
6,488;NaN;NaN;0,01;0,0
6,517;NaN;NaN;0,01;0,0
6,547;NaN;NaN;0,01;0,1
6,592;NaN;NaN;0,01;0,1
6,622;NaN;NaN;0,01;0,1
6,668;NaN;NaN;0,01;0,0
6,705;NaN;NaN;0,01;0,0
6,744;NaN;NaN;0,01;0,0
6,781;NaN;NaN;0,01;0,0
6,819;NaN;NaN;0,01;0,0
6,849;NaN;NaN;0,01;0,0
6,885;NaN;NaN;0,01;0,0
6,929;NaN;NaN;0,01;0,0
6,964;NaN;NaN;0,01;0,1
7,001;NaN;NaN;0,01;0,0
7,048;NaN;NaN;0,01;0,3
7,099;NaN;NaN;0,01;0,0
7,145;NaN;NaN;0,01;0,0
7,193;NaN;NaN;0,01;0,0
7,237;NaN;NaN;0,01;0,0
7,283;NaN;NaN;0,01;0,0
7,330;NaN;NaN;0,01;0,0
7,379;NaN;NaN;0,02;0,0
7,425;NaN;NaN;0,01;0,0
7,469;NaN;NaN;0,01;0,0
7,502;NaN;NaN;0,01;0,0
7,553;NaN;NaN;0,01;0,0
7,598;NaN;NaN;0,01;0,0
7,640;NaN;NaN;0,01;0,1
7,683;NaN;NaN;0,01;0,0
7,715;NaN;NaN;0,01;0,0
7,766;NaN;NaN;0,01;0,0
7,800;NaN;NaN;0,01;0,0
7,850;NaN;NaN;0,01;0,0
7,894;NaN;NaN;0,01;0,0
7,941;NaN;NaN;0,01;0,0
7,984;NaN;NaN;0,01;0,0
8,032;NaN;NaN;0,01;0,1
8,059;NaN;NaN;0,01;0,1
8,116;NaN;NaN;0,01;0,0
8,156;NaN;NaN;0,01;0,0
8,201;NaN;NaN;0,01;0,0
8,248;NaN;NaN;0,01;0,0
8,285;NaN;NaN;0,01;0,0
8,315;NaN;NaN;0,01;0,0
8,368;NaN;NaN;0,01;0,0
8,414;NaN;NaN;0,01;0,0
8,456;NaN;NaN;0,01;0,0
8,485;NaN;NaN;0,01;0,0
8,545;NaN;NaN;0,01;0,1
8,589;NaN;NaN;0,01;0,1
8,636;NaN;NaN;0,01;0,0
8,680;NaN;NaN;0,01;0,0
8,724;NaN;NaN;0,01;0,0
8,767;NaN;NaN;0,01;0,0
8,812;NaN;NaN;0,01;0,1
8,857;NaN;NaN;0,01;0,0
8,903;NaN;NaN;0,01;0,2
8,934;NaN;NaN;0,01;0,0
8,989;NaN;NaN;0,01;0,0
9,031;NaN;NaN;0,01;0,0
9,074;NaN;NaN;0,01;0,3
9,122;NaN;NaN;0,01;0,3
9,168;NaN;NaN;0,01;0,0
9,213;NaN;NaN;0,01;0,0
9,260;NaN;NaN;0,01;0,0
9,287;NaN;NaN;0,01;0,0
9,332;NaN;NaN;0,01;0,1
9,387;NaN;NaN;0,01;0,1
9,429;NaN;NaN;0,01;0,1
9,458;NaN;NaN;0,01;0,1
